VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,01/01/2020 12:28:15 AM,01/01/2020 12:33:03 AM,1,1.2,1,N,238,239,1,6,3,0.5,1.47,0,0.3,11.27,2.5
1,01/01/2020 12:35:39 AM,01/01/2020 12:43:04 AM,1,1.2,1,N,239,238,1,7,3,0.5,1.5,0,0.3,12.3,2.5
1,01/01/2020 12:47:41 AM,01/01/2020 12:53:52 AM,1,0.6,1,N,238,238,1,6,3,0.5,1,0,0.3,10.8,2.5
1,01/01/2020 12:55:23 AM,01/01/2020 01:00:14 AM,1,0.8,1,N,238,151,1,5.5,0.5,0.5,1.36,0,0.3,8.16,0
2,01/01/2020 12:01:58 AM,01/01/2020 12:04:16 AM,1,0,1,N,193,193,2,3.5,0.5,0.5,0,0,0.3,4.8,0
2,01/01/2020 12:09:44 AM,01/01/2020 12:10:37 AM,1,0.03,1,N,7,193,2,2.5,0.5,0.5,0,0,0.3,3.8,0
2,01/01/2020 12:39:25 AM,01/01/2020 12:39:29 AM,1,0,1,N,193,193,1,2.5,0.5,0.5,0.01,0,0.3,3.81,0
2,12/18/2019 03:27:49 PM,12/18/2019 03:28:59 PM,1,0,5,N,193,193,1,0.01,0,0,0,0,0.3,2.81,2.5
2,12/18/2019 03:30:35 PM,12/18/2019 03:31:35 PM,4,0,1,N,193,193,1,2.5,0.5,0.5,0,0,0.3,6.3,2.5
1,01/01/2020 12:29:01 AM,01/01/2020 12:40:28 AM,2,0.7,1,N,246,48,1,8,3,0.5,2.35,0,0.3,14.15,2.5
1,01/01/2020 12:55:11 AM,01/01/2020 01:12:03 AM,2,2.4,1,N,246,79,1,12,3,0.5,1.75,0,0.3,17.55,2.5
1,01/01/2020 12:37:15 AM,01/01/2020 12:51:41 AM,1,0.8,1,N,163,161,2,9.5,3,0.5,0,0,0.3,13.3,2.5
1,01/01/2020 12:56:27 AM,01/01/2020 01:21:44 AM,1,3.3,1,N,161,144,1,17,3,0.5,4.15,0,0.3,24.95,2.5
2,01/01/2020 12:21:54 AM,01/01/2020 12:27:31 AM,1,1.07,1,N,43,239,1,6,0.5,0.5,1.96,0,0.3,11.76,2.5
2,01/01/2020 12:38:01 AM,01/01/2020 01:15:21 AM,1,7.76,1,N,143,25,1,28.5,0.5,0.5,4.84,0,0.3,37.14,2.5
1,01/01/2020 12:15:35 AM,01/01/2020 12:27:06 AM,3,1.6,1,N,211,234,2,9,3,0.5,0,0,0.3,12.8,2.5
1,01/01/2020 12:41:20 AM,01/01/2020 12:44:22 AM,1,0.5,1,Y,234,90,1,4,3,0.5,1,0,0.3,8.8,2.5
1,01/01/2020 12:56:38 AM,01/01/2020 01:13:34 AM,1,1.7,1,N,246,142,2,11.5,3,0.5,0,0,0.3,15.3,2.5
2,01/01/2020 12:08:21 AM,01/01/2020 12:25:29 AM,1,8.45,1,N,138,216,2,24.5,0.5,0.5,0,0,0.3,25.8,0
1,01/01/2020 12:25:39 AM,01/01/2020 12:27:05 AM,1,0,1,N,170,162,4,3,3,0.5,0,0,0.3,6.8,2.5
1,01/01/2020 12:28:53 AM,01/01/2020 12:41:59 AM,1,1.5,1,N,170,161,1,9.5,3,0.5,2.65,0,0.3,15.95,2.5
1,01/01/2020 12:49:00 AM,01/01/2020 01:17:42 AM,1,2.9,1,N,161,262,1,19,3,0.5,4.55,0,0.3,27.35,2.5
1,01/01/2020 12:23:54 AM,01/01/2020 12:38:46 AM,1,1.9,1,N,236,162,1,10.5,3,0.5,2.85,0,0.3,17.15,2.5
1,01/01/2020 12:56:12 AM,01/01/2020 01:19:57 AM,1,4.2,1,N,50,261,1,18,3,0.5,4.35,0,0.3,26.15,2.5
1,01/01/2020 12:28:02 AM,01/01/2020 12:35:56 AM,2,1.5,1,N,142,236,1,7.5,3,0.5,2.8,0,0.3,14.1,2.5
